"Genus","Subgenus","Species","Subspecies","Country","Province","Locality","Latitude","Longitude","Coordinate.precision","Year","Month","Day","Start.date","End.date","Collector","Determined.by","Female","Male","Worker","Not.specified","Reference.doi","Flowers.visited","Local_ID","Authors.to.give.credit","Any.other.additional.data","Notes.and.queries","uid"
"Bombus",NA,"pratorum","santonae","Spain","Albacete","Monte Almenaras",NA,NA,"WH46",1989,5,6,NA,NA,"Leopoldo Castro",NA,NA,NA,1,NA,NA,"Helleborus sp.","Colección L. Castro (Teruel)",NA,"1600 m","WH46 coordinate precision","76_Ortiz1"
"Bombus",NA,"pratorum","santonae","Spain","Albacete","Monte Almenaras: Puerto del Mosquito",NA,NA,"WH46",1989,5,6,NA,NA,"Leopoldo Castro",NA,1,NA,NA,NA,NA,"Helleborus sp.","Colección L. Castro (Teruel)",NA,"1600 m","WH46 coordinate precision","76_Ortiz2"
"Bombus",NA,"pratorum","santonae","Spain","Albacete","Cueva ahumada",NA,NA,"WH45",1985,6,8,NA,NA,"Leopoldo Castro",NA,1,1,NA,NA,NA,NA,NA,NA,"1000 m","WH45 coordinate precision","76_Ortiz3"
"Bombus",NA,"pratorum","santonae","Spain","Albacete","Cueva ahumada",NA,NA,"WH45",1985,6,8,NA,NA,"Leopoldo Castro",NA,NA,1,NA,NA,NA,NA,NA,NA,"1050 m","WH45 coordinate precision","76_Ortiz4"
"Bombus",NA,"pratorum","santonae","Spain","Albacete","La Mesta",NA,NA,"WH47",1985,6,9,NA,NA,"Leopoldo Castro",NA,NA,NA,1,NA,NA,NA,NA,NA,"1200 m","WH47 coordinate precision","76_Ortiz5"
"Bombus",NA,"pratorum","santonae","Spain","Albacete","Puerto de las Crucetillas (Riópar)",NA,NA,"WH56",1985,6,8,NA,NA,"Leopoldo Castro",NA,NA,1,NA,NA,NA,NA,NA,NA,"1300 m","WH56 coordinate precision","76_Ortiz6"
"Bombus",NA,"pratorum","santonae","Spain","Albacete","Tortas",NA,NA,"WH56",1985,6,9,NA,NA,"Leopoldo Castro",NA,NA,1,NA,NA,NA,NA,NA,NA,"1350 m","WH56 coordinate precision","76_Ortiz7"
"Bombus",NA,"pratorum","santonae","Spain","Almería","Sierra de Adra",NA,NA,"VF87",2010,6,5,NA,NA,"Francisco Rodríguez",NA,NA,1,NA,NA,NA,NA,NA,NA,"697 m","VF87 coordinate precision","76_Ortiz8"
"Bombus",NA,"pratorum","santonae","Spain","Almería","Bayárcal",NA,NA,"VG90",2014,7,8,NA,NA,"Francisco Rodríguez",NA,NA,2,NA,NA,NA,NA,NA,NA,"1700 m","VG90 coordinate precision","76_Ortiz9"
"Bombus",NA,"pratorum","santonae","Spain","Almería","Monte Calar Alto: Fuente de la Merendera",NA,NA,"WG41",2011,7,12,NA,NA,"Leopoldo Castro",NA,NA,1,NA,NA,NA,"Lavandula sp.",NA,NA,"1870 m","WG41 coordinate precision","76_Ortiz10"
